ConfirmedCovidCases,HealthcareWorkersCovidCases,HospitalisedCovidCases,RequiringICUCovidCases
74,,,
191,25.0,24.0,1.0
126,30.0,32.0,5.0
102,33.0,33.0,1.0
121,12.0,38.0,4.0
219,49.0,28.0,8.0
204,39.0,38.0,11.0
235,36.0,28.0,3.0
255,38.0,35.0,8.0
302,54.0,79.0,12.0
294,70.0,70.0,8.0
200,61.0,75.0,10.0
295,72.0,81.0,7.0
325,96.0,58.0,29.0
212,78.0,131.0,13.0
402,89.0,98.0,8.0
424,107.0,107.0,14.0
331,136.0,79.0,10.0
390,79.0,85.0,7.0
370,100.0,62.0,4.0
345,125.0,80.0,25.0
365,180.0,127.0,30.0
500,197.0,49.0,6.0
480,184.0,110.0,14.0
553,192.0,87.0,9.0
430,171.0,59.0,8.0
527,177.0,72.0,7.0
548,218.0,54.0,7.0
657,165.0,65.0,5.0
629,218.0,58.0,4.0
597,257.0,56.0,10.0
630,226.0,86.0,2.0
445,215.0,65.0,7.0
401,221.0,39.0,3.0
388,171.0,51.0,9.0
631,213.0,64.0,7.0
936,152.0,37.0,9.0
577,168.0,62.0,7.0
377,134.0,50.0,6.0
701,217.0,40.0,5.0
386,140.0,48.0,4.0
229,210.0,14.0,5.0
376,154.0,31.0,-3.0
359,116.0,37.0,5.0
221,156.0,62.0,7.0
343,133.0,17.0,1.0
330,95.0,40.0,-5.0
266,143.0,15.0,1.0
211,82.0,39.0,5.0
265,100.0,-1.0,4.0
137,105.0,13.0,3.0
156,88.0,24.0,-3.0
219,83.0,39.0,8.0
236,102.0,32.0,2.0
139,63.0,12.0,0.0
107,72.0,33.0,3.0
159,91.0,19.0,3.0
426,126.0,3.0,-2.0
129,304.0,9.0,0.0
92,103.0,32.0,2.0
64,36.0,23.0,0.0
88,49.0,10.0,2.0
51,46.0,16.0,-1.0
64,47.0,21.0,3.0
76,39.0,19.0,-1.0
115,44.0,11.0,1.0
76,22.0,17.0,0.0
57,6.0,11.0,1.0
59,23.0,3.0,0.0
37,10.0,8.0,1.0
73,39.0,18.0,4.0
46,29.0,16.0,5.0
39,23.0,3.0,0.0
59,12.0,9.0,4.0
66,8.0,4.0,0.0
77,5.0,3.0,0.0
10,18.0,6.0,0.0
47,18.0,6.0,1.0
38,21.0,13.0,1.0
28,21.0,1.0,0.0
24,13.0,7.0,0.0
25,-2.0,2.0,-1.0
9,16.0,1.0,2.0
9,14.0,9.0,2.0
19,12.0,-10.0,-2.0
8,15.0,-14.0,1.0
13,2.0,-32.0,3.0
46,7.0,1.0,1.0
8,7.0,3.0,0.0
18,0.0,-1.0,1.0
14,9.0,4.0,1.0
8,5.0,-4.0,-1.0
16,3.0,4.0,0.0
13,7.0,4.0,-1.0
22,-2.0,-6.0,3.0
6,6.0,2.0,0.0
4,3.0,2.0,12.0
10,11.0,1.0,3.0
5,5.0,7.0,0.0
11,1.0,1.0,-1.0
11,7.0,0.0,1.0
23,0.0,0.0,0.0
1,0.0,0.0,0.0
24,16.0,0.0,1.0
11,7.0,2.0,-1.0
6,7.0,3.0,0.0
15,0.0,0.0,0.0
9,4.0,9.0,2.0
11,7.0,2.0,0.0
18,1.0,-1.0,0.0
4,7.0,1.0,1.0
24,3.0,-2.0,-1.0
11,14.0,6.0,0.0
23,14.0,15.0,0.0
25,3.0,0.0,0.0
23,5.0,2.0,0.0
17,3.0,0.0,0.0
11,8.0,0.0,0.0
32,9.0,2.0,0.0
14,20.0,5.0,1.0
21,11.0,2.0,0.0
34,2.0,0.0,0.0
21,7.0,3.0,0.0
10,5.0,0.0,0.0
6,4.0,1.0,0.0
36,6.0,-1.0,0.0
17,7.0,-2.0,1.0
7,12.0,1.0,0.0
20,13.0,3.0,0.0
24,1.0,1.0,0.0
12,3.0,0.0,0.0
11,6.0,1.0,0.0
40,5.0,3.0,-1.0
14,6.0,0.0,1.0
85,6.0,1.0,0.0
38,13.0,2.0,-1.0
45,9.0,1.0,0.0
53,3.0,6.0,0.0
46,5.0,0.0,0.0
45,1.0,-1.0,0.0
50,4.0,-1.0,2.0
69,2.0,2.0,-2.0
98,4.0,3.0,1.0
174,3.0,2.0,0.0
68,5.0,1.0,0.0
57,2.0,-1.0,0.0
35,9.0,8.0,1.0
40,2.0,4.0,2.0
92,5.0,2.0,0.0
67,6.0,3.0,0.0
200,4.0,3.0,0.0
66,11.0,1.0,1.0
56,6.0,2.0,0.0
190,9.0,1.0,-1.0
54,13.0,1.0,1.0
136,4.0,5.0,1.0
79,9.0,-1.0,0.0
156,6.0,1.0,0.0
